'NitricOxide','NitrogenDioxide','OxidesofNitrogen','Ozone','WindSpeed','ResultantWindSpeed','ResultantWindDirection','MaximumWindGust','Std.Dev.WindDirection','OutdoorTemperature','DewPointTemperature','RelativeHumidity','SolarRadiation','PM2.5'
-1,2.7,1.6,53,19.6,19.1,269,33.4,12,85.4,16.4,7.7,0.094,94.4
-0.8,3.1,2.2,48,17.1,16.9,277,28.4,9,82.8,18.7,9.2,0,38.1
1.9,38.7,40.1,7,0.7,0.2,200,1.8,69,77.9,20.1,11.6,0,71.2
0.7,33.1,33.4,7,2.6,2.2,315,4.6,32,75.7,22.6,15.6,0,37
48.8,38.9,87.4,1,3.3,1.4,167,11.3,62,73,23.3,15.7,0,91.2
-1.4,2.3,0.9,58,9.6,5.2,141,23.7,55,87.1,33.1,16,1.017,51.5
4.5,19.9,24.3,13,2.9,2.6,320,9.4,28,62.7,33.8,32.9,0.063,47
-0.1,7.4,7.5,29,5.4,5.1,67,14.2,20,66.6,51.6,57.6,0.336,56.2
-1.1,4.3,3.3,51,9.1,6.3,170,41.5,45,91,47.9,23,0.417,50.5
-1,4.7,3.9,42,23.4,22.4,136,48.6,17,73.3,56.3,55.7,0.419,151.3
-0.1,3.8,3.8,40,12.9,12.2,224,33.8,19,88.8,51.6,28.7,0.007,53.6
-0.2,1.1,1,40,16.1,15.5,226,32.5,16,81.9,56.4,41.8,0,37
-0.6,-0.2,-0.6,41,15.6,14.2,14,25.8,24,57,8.5,14.3,0.942,43.8
-0.8,0.7,0.2,42,18.4,16.9,14,34.1,23,55.1,2.9,12.1,0.588,59.5
-1,0.8,0.2,45,15.8,14.5,14,25.8,23,53.9,-1.1,10.2,0.388,37.2
141.7,33.5,174.9,3,0.3,0.2,225,0.3,56,47.7,29.3,48.5,0,43.7
161.2,32.2,193,2,0.3,0.1,92,0.6,72,45.7,31.7,57.8,0,46.6
158.3,30.7,188.5,3,0.8,0.7,245,5.4,12,43.8,31.3,61.4,0,53.1
217.6,43.5,259.4,5,2.3,1.7,210,4.6,41,46.2,26.5,45.9,0,50.2
216.2,41.1,255.5,4,0.6,0.3,113,4.5,60,43.6,26.9,51.5,0,62.1
282.9,43.8,325.4,4,2.2,2,150,4.5,23,42.3,27.6,55.4,0,65.7
237.9,40.2,276.5,3,2.8,2.6,145,6.9,22,40.9,27.4,58.6,0,49.1
175,49.1,222.1,5,3.9,3.7,257,7.4,18,49.7,14.7,24.4,0,47.9
217,47.8,263.1,5,2.9,1.9,180,4.8,46,47.2,16.5,29,0,68.4
251.2,47.6,297.3,4,1.5,1,166,4.2,48,45.1,18,33.3,0,56.5
285.4,45.2,329.5,5,2.1,1.7,286,5.2,34,43.6,21.8,42.5,0,71
272,43.1,313.8,4,1.9,1.6,148,4.1,33,42,20.1,41.7,0,57.1
243.9,45.6,288,3,4.8,4.7,140,9.1,10,38.9,20.5,47.6,0,53
132.2,37.5,168.6,1,1,0.5,156,2.8,55,51.8,28.5,40.4,0,36.9
220.6,40.2,260.1,2,1.3,1,241,3.4,35,50.1,29.5,44.8,0,36.4
314.9,43.4,358.1,3,2.6,2.1,104,4.5,34,47.6,29.8,50,0,63.1
237,39.8,276,2,2.1,0.8,285,3.5,63,47.1,29.8,51.3,0,41.2
245.1,39.8,284.3,2,1.4,1.3,132,3.5,28,46.1,30.4,54,0,39.2
3.6,4.4,6.4,42,19.5,19,250,42,13,79.4,24.7,13.2,0,61.2
0.4,7.1,8.1,50,25.1,24.7,283,42.3,9,59.6,13.2,16.1,0.45,65.9
1.4,5.9,7.3,52,28.8,28.4,283,48.4,10,61,10.1,13.3,0.752,101.6
2,5.5,7.1,52,31,30.4,288,50.8,11,61.7,4.8,10.3,0.977,162.1
1.1,3.8,4.6,55,31.4,30.7,292,54.1,12,61.5,1.2,8.8,1.188,133.6
2,4.8,6.3,54,30.8,30.3,281,47.7,11,61.6,-1.3,7.7,1.305,125.3
1.9,5.4,6.9,54,29.2,28.5,284,48.3,12,61.1,-3.7,7.2,1.359,78
1.7,5.1,6.5,55,26.3,25.7,286,43.5,13,61.2,-3.5,7,1.29,42.9
2,6.1,7.8,53,25.3,24.7,289,44.1,13,61.5,-1.3,7.7,1.114,40.4
1.9,5.9,7.4,53,22.8,22,287,40.1,15,62.1,-1.1,7.7,0.535,59
2.1,6.7,7.9,58,19.7,19.3,290,34.3,12,62,-1,7.6,0.208,57.1
0.3,2.8,3,54,18,17.5,298,30,14,67.9,17.4,14.3,1.352,52.4
1.8,5.3,6.9,55,20.6,20,281,35.6,13,72.5,13.7,10.6,1.456,45.6
2.2,6,8,52,23,22.5,280,37.1,12,73.7,15.5,10.7,1.445,41.5
6.6,24.8,31.6,30,9,8.7,191,20.9,15,68.7,17.4,13.9,0.253,38.5
3.6,11.3,15,44,13.8,13.4,202,25.1,14,72.3,16,11.7,0.887,55.7
2.2,8.3,10.5,51,20.7,19.4,260,43,20,81.9,15.3,8.2,0.971,41.9
1.8,7.6,9.4,46,20.9,20.5,276,34.2,11,80.3,19.7,10.3,0.708,53.7
2.4,8.6,11,41,21.8,21.4,274,35.9,11,79.3,22.9,12.3,0.469,83
1.7,6.6,8.2,41,23.3,22.8,269,39.7,11,77.4,23.8,13.6,0.21,80.8
1.4,5.1,6.2,41,24.9,24.5,272,44.4,10,74.6,25.4,15.9,0.031,99.8
1,4.2,4.9,43,23.8,23.5,276,41.5,9,71.7,27.9,19.5,0,44.2
0.2,12,12.3,70,14.1,13.9,278,24.1,10,86.5,12.2,6.2,0.066,40
0.2,15.9,16.2,63,10.4,10.2,270,18.1,10,84.8,12,6.4,0,50.8
0,14,14,59,10.1,9.7,282,17.1,16,82.9,13,7.2,0,57.1
0,15.1,15.1,52,9.8,9.6,284,15.1,12,79.8,12.2,7.6,0,44.8
1.3,30.4,31.7,24,8.2,8.2,276,13.6,8,77,11.7,8.2,0,40.4
0.3,13.1,13.2,25,5.6,5.2,263,11.5,20,79.3,17.2,9.6,0,37.8
0.8,23.1,23.9,13,3.1,0.4,190,8.4,75,76.8,20.4,12.1,0,40.1
16.4,32.2,48.4,2,3.6,3.3,127,6.5,22,72.8,23.7,15.7,0,46.9
33.6,32.6,66,1,3.6,0.8,128,7.5,72,71.3,22.3,16.1,0,38.5
33.8,30,63.5,4,4.8,3.9,130,8.5,35,70.9,22.3,15.9,0.073,46.3
18.1,39.4,57.4,4,0.5,0.3,150,1.1,52,91.4,32.5,12.4,0,58
0.7,3.1,3.4,39,14.1,13.6,277,25,14,89.9,35.8,14.8,0,80.7
0.4,3.8,3.9,40,16.9,16.7,285,32.1,9,88.9,37.4,16.3,0,39.5
0.3,1.7,1.7,43,24,23.7,281,48.8,10,87.8,38.5,17.6,0,54.2
-2.6,-2,-2.9,33,13.7,13.2,66,24.8,15,43.1,14.1,30.6,0.295,37.8
-3,-1.7,-3,35,15.2,14.8,66,31,13,41.8,13.2,30.9,0.218,41.9
-1.2,0,-0.2,35,14.8,14.4,65,27.5,13,39.7,13.4,33.9,0.09,43.4
194.9,63.9,257.1,3,0.4,0.4,148,2.4,13,57.3,16,19.4,0,46.2
145.8,57.4,201.9,3,0.3,0.1,87,0.3,71,53.8,20.2,26.6,0,58.1
153.6,55.9,208.2,3,0.6,0.6,128,3.3,14,51.6,18.3,26.7,0,53.5
218.8,53.5,270.4,3,0.9,0.9,118,4.4,17,48.4,19,30.9,0,58.3
86,42.2,127.4,3,2.6,2.5,122,6.2,15,46.2,16.5,30.1,0,35.9
263.6,46,308,3,0.5,0.4,236,3.8,37,47.5,29.8,50.6,0,58.5
317.1,49.2,364,4,1.3,1.2,107,3.8,10,43.8,24.6,46.7,0,78.6
114.5,37,150.6,2,2.9,2.8,122,7.9,10,41.9,21.1,43.5,0,35.2
79.7,43.8,117,1,1.6,0.8,52,3.8,56,56.7,37.4,48.6,0,37.9
84.8,42.5,120.8,2,1.7,1.4,44,3.8,37,55.7,37,49.3,0,45.7
169.7,46.6,209.3,1,1.8,1.4,215,5.7,38,54,38.4,55.4,0,47.3
209.5,43.8,246.2,3,2.8,2.7,97,4.6,11,50.7,37.7,60.9,0,56.3
148.2,39.6,181.1,2,1.6,1.4,171,3.6,29,49.2,37.2,62.9,0,48.9
3.6,31.6,30.5,16,2.2,1.5,321,4.9,45,61.8,38.8,42.7,0.145,36.4
160,37.6,190.8,2,1.2,0.7,151,2.5,52,48.2,37.2,65.7,0,43
135.7,34.2,163,1,1,0.5,114,2.7,56,46.6,37.7,71,0,39.9
116.1,31.9,141.2,1,1.4,1.3,98,2.9,22,45.4,36.3,70.4,0,35.4
6.8,14.9,16.7,18,4.5,4.2,154,8,21,56.6,37.7,49.1,0.652,39
146.2,42.2,188.5,3,2.5,2.1,255,5,32,56.6,24.8,29.1,0,41.6
174.3,42.7,216.9,2,1.9,1.7,270,4.2,24,54.8,25,31.4,0,40.3
165.3,44.5,209.7,2,3.1,2.9,253,4.5,20,53.7,25.4,33.3,0,58.1
268.4,42.5,310,4,3.2,3.2,212,5.3,11,50.4,26.9,39.9,0,73.1
254.2,40.6,293.9,4,2.2,2.1,194,3.9,15,49.3,27,41.8,0,67.7
251.3,42.3,292.8,3,2.8,2.5,140,5.4,28,47.9,27.2,44.5,0,73.5
92,33.8,127.2,3,1.7,1.2,353,4.4,45,41.3,19.2,40.8,0.414,40.5
218.1,39,256.5,2,3.4,3.3,102,5.7,13,43.3,26.8,52,0,63.3
75.3,31.1,106.5,1,4.6,4.5,110,7,12,40.7,26.6,57,0,37.3
164.5,29.5,195,1,3.4,2.4,197,8.9,45,42.1,28.2,57.9,0.148,45.2
191.9,30.1,222.8,1,4.7,4.6,123,7.7,10,45.7,25.7,45.4,0.145,37
151.8,36.8,189.9,2,4.7,4.5,137,7.6,14,51.7,26.6,37.6,0.411,43.5
75.5,38.1,115,7,4.3,4.1,143,8.7,20,57.4,26.9,31.1,0.615,53.3
160.9,38.4,199.1,2,2.9,2.8,158,6,16,61.9,27.2,26.6,0,35.6
163,33.9,196.8,2,2.7,1,119,6.4,65,58.7,28.3,31.8,0,55.7
170.5,33.9,204.2,2,4.6,4.1,115,8.9,26,55.4,26.9,33.2,0,74.3
87.5,27.9,115.5,1,2.6,2.2,82,7,33,52.9,26.2,35.5,0,76.8
